pairs	GCdiff	k3dist	k6dist	Homology	Predictions	InfProbabilities
virus1:host1	0	0.1355616680093653	0.374238541342335	0	1	0.9744379185686404
virus1:host2	-1.4301357220606832	0.1355616680093653	0.374238541342335	0	0	0.5686404
virus1:host3	-1.4301357220606832	0.1355616680093653	0.374238541342335	0	0	0.79185686404
virus2:host1	-1.4301357220606832	0.1355616680093653	0.374238541342335	0	1	0.97443
virus2:host2	-1.4301357220606832	0.1355616680093653	0.374238541342335	0	0	0.9185686404
virus2:host3	-1.4301357220606832	0.1355616680093653	0.374238541342335	0	1	0.885686404
virus3:host1	-1.4301357220606832	0.1355616680093653	0.374238541342335	0	1	0.95686404
virus3:host2	-1.4301357220606832	0.1355616680093653	0.374238541342335	0	1	0.974185686404
virus3:host3	-1.4301357220606832	0.1355616680093653	0.374238541342335	0	0	0.96864
virus4:host1	-1.4301357220606832	0.1355616680093653	0.374238541342335	0	0	0.9404
virus4:host2	-1.4301357220606832	0.1355616680093653	0.374238541342335	0	1	0.79186404
virus4:host3	-1.4301357220606832	0.1355616680093653	0.374238541342335	0	0	0.97404
virus5:host1	-1.4301357220606832	0.1355616680093653	0.374238541342335	0	0	0.74485686404
virus5:host2	-1.4301357220606832	0.1355616680093653	0.374238541342335	0	1	0.86404
virus5:host3	-1.4301357220606832	0.1355616680093653	0.374238541342335	0	0	0.5686404
virus6:host1	-1.4301357220606832	0.1355616680093653	0.374238541342335	0	0	0.856874
virus6:host2	-1.4301357220606832	0.1355616680093653	0.374238541342335	0	1	0.956404
virus6:host3	-1.4301357220606832	0.1355616680093653	0.374238541342335	0	0	0.553786404
