Method,Number of Swaps,Node,Eigenvector Centrality,Betweenness Centrality,Closeness Centrality
SM,235560,Contig_60400.fasta,0.01724543050194399,1.0557459474715719e-05,0.49951573849878933
SM,235560,Contig_303000.fasta,0.019684451076833757,1.4033734241465102e-05,0.5002424830261881
SM,235560,Contig_58480.fasta,0.018512955408892435,1.2240517017209333e-05,0.5002424830261881
SM,235560,Contig_547953.fasta,0.010535243739005665,3.732322193370372e-06,0.49519923187710035
SM,235560,Contig_501261.fasta,0.014558540143862759,7.3237067127976065e-06,0.49855002416626387
SM,235560,Contig_59812.fasta,0.01053338697780371,3.7244321567715026e-06,0.49448705656759345
SM,235560,Contig_137842.fasta,0.015959499059286106,8.744662028578818e-06,0.49903241412675375
SM,235560,Contig_305555.fasta,0.013258513692743775,6.030792789169135e-06,0.49758803666184276
SM,235560,Contig_1064437.fasta,0.023874713833431108,2.0509021166059116e-05,0.5012147716229349
SM,235560,Contig_302768.fasta,0.01581747031570789,8.830033701161482e-06,0.49927395934172314
SM,235560,Contig_308773.fasta,0.013304958441543198,5.959302689395109e-06,0.49782818532818535
SM,235560,Contig_548846.fasta,0.022481698730076785,1.8118787341553105e-05,0.5009713453132588
SM,235560,Contig_367992.fasta,0.019820245865696185,1.4141213618473343e-05,0.5
SM,235560,Contig_2515.fasta,0.022475305908171754,1.8246250140674536e-05,0.5009713453132588
SM,235560,Contig_139114.fasta,0.015847766945252896,8.86855664217446e-06,0.49927395934172314
SM,235560,Contig_1118110.fasta,0.011884366393087584,4.7820271386517225e-06,0.4961519961519962
SM,235560,Contig_499911.fasta,0.011925348885597467,4.793620538015514e-06,0.496868978805395
SM,235560,Contig_552124.fasta,0.02257131928414128,1.8163553749470264e-05,0.5007281553398059
SM,235560,Contig_133566.fasta,0.011857948484065009,4.882616262644685e-06,0.49758803666184276
SM,235560,Contig_131655.fasta,0.01450922332362388,7.4014762537603335e-06,0.49879110251450676
SM,235560,Contig_550217.fasta,0.009311690333425857,2.8183610426712905e-06,0.49048977650974795
SM,235560,Contig_1065858.fasta,0.014719214831410218,7.180933171749778e-06,0.49830917874396136
SM,235560,Contig_502682.fasta,0.010472502145983052,3.8391064634286356e-06,0.49448705656759345
SM,235560,Contig_59781.fasta,0.011935448214186472,4.70876258099881e-06,0.49662975445353874
SM,235560,Contig_544167.fasta,0.009224061289950056,2.7805832950258067e-06,0.48909435751541014
SM,235560,Contig_500923.fasta,0.011817150131783806,4.752870883730293e-06,0.4961519961519962
SM,235560,Contig_53423.fasta,0.01716256455230255,1.0433764363082741e-05,0.4997577519379845
SM,235560,Contig_54970.fasta,0.017239020656457334,1.0485716095306974e-05,0.4997577519379845
SM,235560,Contig_371293.fasta,0.009289226023024132,2.7806310844345844e-06,0.4911904761904762
SM,235560,Contig_368039.fasta,0.01590731530542691,8.68159872532818e-06,0.49951573849878933
SM,235560,Contig_139681.fasta,0.013257904654109292,6.030044166610698e-06,0.49806856591018833
SM,235560,Contig_139250.fasta,0.015927530928152352,8.778154242051102e-06,0.49927395934172314
SM,235560,Contig_55970.fasta,0.011941161390490847,4.773875400643046e-06,0.49710843373493974
SM,235560,Contig_370642.fasta,0.013163473412002236,6.028185316835505e-06,0.49662975445353874
SM,235560,Contig_424505.fasta,0.014625845060973018,7.297940481649927e-06,0.49855002416626387
SM,235560,Contig_1064106.fasta,0.01062176316506115,3.7214389506424903e-06,0.4940134099616858
SM,235560,Contig_53687.fasta,0.01713953484171966,1.0589481004263026e-05,0.5
SM,235560,Contig_988292.fasta,0.013269223970627287,6.002995791695274e-06,0.49830917874396136
SM,235560,Contig_2.fasta,0.013117083186698344,6.127556921681785e-06,0.49806856591018833
SM,235560,Contig_55746.fasta,0.01733625176730294,1.0403551750015602e-05,0.5
SM,235560,Contig_370874.fasta,0.010646878974885495,3.798512527126632e-06,0.49543707973102785
SM,235560,Contig_62202.fasta,0.01738562898467609,1.0344403256596999e-05,0.49927395934172314
SM,235560,Contig_131826.fasta,0.013104272095187507,6.063706374490363e-06,0.49734811957569913
SM,235560,Contig_60972.fasta,0.022645403817733518,1.8049526318867754e-05,0.5009713453132588
SM,235560,Contig_502426.fasta,0.010553178660499754,3.7122309685529176e-06,0.4933046389287422
SM,235560,Contig_302574.fasta,0.013104130679439503,6.054726342135205e-06,0.49830917874396136
