Method,Number of Swaps,Node,Eigenvector Centrality,Betweenness Centrality,Closeness Centrality
SM,235560,Contig_60400.fasta,0.011993798312089713,4.863729291216524e-06,0.49662975445353874
SM,235560,Contig_303000.fasta,0.019819207137314564,1.4106488615794333e-05,0.5004852013585638
SM,235560,Contig_58480.fasta,0.01715402360538125,1.0156165510412168e-05,0.49951573849878933
SM,235560,Contig_547953.fasta,0.01716895704489626,1.0340257668720842e-05,0.4997577519379845
SM,235560,Contig_501261.fasta,0.011926285940535493,4.834804261924811e-06,0.4956751561749159
SM,235560,Contig_59812.fasta,0.013211018134439215,6.047942781727927e-06,0.49758803666184276
SM,235560,Contig_137842.fasta,0.019882673456976224,1.4236492626437622e-05,0.5004852013585638
SM,235560,Contig_305555.fasta,0.017249849127690862,1.0152663945796415e-05,0.49903241412675375
SM,235560,Contig_1064437.fasta,0.014568263737011058,7.1660289856433386e-06,0.49879110251450676
SM,235560,Contig_302768.fasta,0.014522287526667035,7.336619654827034e-06,0.49855002416626387
SM,235560,Contig_308773.fasta,0.017243115776634423,1.045255892343628e-05,0.5
SM,235560,Contig_548846.fasta,0.014521127850386248,7.521027066637308e-06,0.49903241412675375
SM,235560,Contig_367992.fasta,0.018562541204463084,1.2251669746821965e-05,0.5002424830261881
SM,235560,Contig_2515.fasta,0.013380333495775252,5.931444903479238e-06,0.49855002416626387
SM,235560,Contig_139114.fasta,0.011957669473953936,4.876897191030323e-06,0.49710843373493974
SM,235560,Contig_1118110.fasta,0.011948590743431277,4.671412292752712e-06,0.4956751561749159
SM,235560,Contig_499911.fasta,0.011871957599162167,4.7352464077222145e-06,0.49758803666184276
SM,235560,Contig_552124.fasta,0.010579028194859752,3.72969841227229e-06,0.49448705656759345
SM,235560,Contig_133566.fasta,0.013115384487905413,6.0616360356803674e-06,0.49758803666184276
SM,235560,Contig_131655.fasta,0.014498452475346276,7.3468312516448035e-06,0.49879110251450676
SM,235560,Contig_550217.fasta,0.018635786217081566,1.2075572592200763e-05,0.5002424830261881
SM,235560,Contig_1065858.fasta,0.015867688358092324,8.820058733921915e-06,0.49927395934172314
SM,235560,Contig_502682.fasta,0.021149535400260964,1.605690069917401e-05,0.5007281553398059
SM,235560,Contig_59781.fasta,0.017192707291900495,1.0429857571473367e-05,0.5
SM,235560,Contig_544167.fasta,0.009235204638196095,2.80346649380713e-06,0.4911904761904762
SM,235560,Contig_500923.fasta,0.02120174918869664,1.5712486572485457e-05,0.5004852013585638
SM,235560,Contig_53423.fasta,0.018437488599547035,1.2196160176649794e-05,0.5002424830261881
SM,235560,Contig_54970.fasta,0.014604986917711525,7.370863400029797e-06,0.49830917874396136
SM,235560,Contig_371293.fasta,0.010507502522346703,3.667753551081905e-06,0.49306883365200765
SM,235560,Contig_368039.fasta,0.011826873954792406,4.787875666244661e-06,0.49710843373493974
SM,235560,Contig_139681.fasta,0.01721607518081072,1.0315174587310658e-05,0.49951573849878933
SM,235560,Contig_139250.fasta,0.019807371019114377,1.373614149849242e-05,0.5004852013585638
SM,235560,Contig_55970.fasta,0.014533836867378882,7.3854743941069006e-06,0.49855002416626387
